term,E,P,A,E2,P2,A2
babysitter,2.12,1.36,0.36,2.12,1.36,0.36
bachelor,0.63,0.71,1.33,0.63,0.71,1.33
backstabber,-3.62,0.55,-0.07,-3.62,0.55,-0.07
bailiff,0.72,1.56,0.1,0.72,1.56,0.1
bailsman,0.58,1.57,0.55,0.58,1.57,0.55
baker,1.97,0.7,0.06,1.97,0.7,0.06
bandit,-2.05,0.68,1.19,-2.05,0.68,1.19
bank_manager,1.11,1.81,0.27,1.11,1.81,0.27
bank_teller,1.27,0.57,-0.52,1.27,0.57,-0.52
banker,0.96,1.26,-0.52,0.96,1.26,-0.52
baptist,0.7,0.66,0.87,0.7,0.66,0.87
barber,1.35,0.26,0.41,1.35,0.26,0.41
bartender,1.33,1.18,2.16,1.33,1.18,2.16
bastard,-1.48,-0.79,0.38,-1.48,-0.79,0.38
battered_woman,-2.21,-2.09,-1.49,-2.21,-2.09,-1.49
beautician,1.32,0.05,1.11,1.32,0.05,1.11
beauty,2.31,2.07,0.23,2.31,2.07,0.23
beggar,-1.3,-2.71,-0.69,-1.3,-2.71,-0.69
beginner,0.42,-1.39,-0.95,0.42,-1.39,-0.95
bellhop,1.2,-0.82,0.95,1.2,-0.82,0.95
benefactor,1.97,1.98,0.1,1.97,1.98,0.1
best_friend,3.62,3.1,1.25,3.62,3.1,1.25
best_man,2.59,1.48,0.81,2.59,1.48,0.81
big_shot,-0.59,1.38,1.95,-0.59,1.38,1.95
bigamist,-2.02,-0.3,0.9,-2.02,-0.3,0.9
bigot,-2.8,-0.57,1.5,-2.8,-0.57,1.5
bill_collector,-1.07,1.63,1.02,-1.07,1.63,1.02
biologist,1.83,1.45,-0.11,1.83,1.45,-0.11
bisexual,0.18,-0.05,0.38,0.18,-0.05,0.38
bitch,-2.48,0.06,2.2,-2.48,0.06,2.2
blabbermouth,-2.05,-0.12,2.9,-2.05,-0.12,2.9
black_man,1.6,1.17,0.95,1.6,1.17,0.95
black_professional,1.56,1.48,0.71,1.56,1.48,0.71
black_woman,1.45,1.34,1.7,1.45,1.34,1.7
blacksmith,1.22,1.26,0.95,1.22,1.26,0.95
blind_date,0.29,-0.33,0.13,0.29,-0.33,0.13
blind_person,0.65,-1.2,-1.52,0.65,-1.2,-1.52
blockhead,-1.51,-1.29,-0.78,-1.51,-1.29,-0.78
blogger,0.5,0.45,0.94,0.5,0.45,0.94
