term,E,P,A,E2,P2,A2
mischievous,-1.24,0.52,0.06,-1.24,0.52,0.06
miserable,-2.97,-1.5,-1.69,-2.97,-1.5,-1.69
miserly,-1.81,-0.55,-1.42,-1.81,-0.55,-1.42
mocking,-1.96,0.02,1.2,-1.96,0.02,1.2
model,1.77,1.5,0.29,1.77,1.5,0.29
modern,1.22,1.03,1.32,1.22,1.03,1.32
modest,2.27,1.27,-1.47,2.27,1.27,-1.47
moody,-1.77,-0.85,0.34,-1.77,-0.85,0.34
mortified,-2.51,-0.78,-0.03,-2.51,-0.78,-0.03
motivated,3.52,3.22,1.51,3.52,3.22,1.51
mournful,-1.65,-0.02,-2.33,-1.65,-0.02,-2.33
moved,2.57,2.33,-0.54,2.57,2.33,-0.54
naive,-1.24,-1.74,-1.15,-1.24,-1.74,-1.15
narrowminded,-2.87,-2.02,-0.71,-2.87,-2.02,-0.71
nasty,-2.7,-0.62,0.9,-2.7,-0.62,0.9
nauseated,-3.2,-1.28,-0.75,-3.2,-1.28,-0.75
neighborly,2.82,1.72,-0.03,2.82,1.72,-0.03
nervous,-1.42,-0.76,0.18,-1.42,-0.76,0.18
neurotic,-1.6,-0.52,1.27,-1.6,-0.52,1.27
nice,3.26,2.53,-0.09,3.26,2.53,-0.09
no_emotion,-1.9,-1.15,-2.78,-1.9,-1.15,-2.78
noble,2.92,2.48,-0.12,2.92,2.48,-0.12
noisy,-1.08,0.37,3.05,-1.08,0.37,3.05
nonchalant,0.36,0.08,-1.65,0.36,0.08,-1.65
nosey,-1.8,-0.65,0.81,-1.8,-0.65,0.81
nostalgic,0.7,0.46,-1.47,0.7,0.46,-1.47
obedient,1.52,-0.38,-1.15,1.52,-0.38,-1.15
obligated,-0.62,0.38,-0.18,-0.62,0.38,-0.18
oblivious,-2.09,-1.87,-1.6,-2.09,-1.87,-1.6
obnoxious,-2.67,0.1,2.35,-2.67,0.1,2.35
obsessive_compulsive,-1.44,-0.83,0.89,-1.44,-0.83,0.89
obstinant,0.02,0.67,0.09,0.02,0.67,0.09
offended,-2.4,-0.61,0.18,-2.4,-0.61,0.18
offensive,-2.5,0.04,1.26,-2.5,0.04,1.26
old,0.55,0.62,-1.83,0.55,0.62,-1.83
old_fashioned,0.61,0.26,-1.49,0.61,0.26,-1.49
open,2.11,1.86,0.36,2.11,1.86,0.36
open_minded,3.16,2.84,0.03,3.16,2.84,0.03
